taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Dasya iridescens,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya iridescens
Dasya kristeniae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya kristeniae
Dasya sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya sp. ARS-2011
Dasyaceae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasyaceae,Dasyaceae
Heterosiphonia crispella,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Heterosiphonia,Heterosiphonia crispella
Acanthophora spicifera,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,Acanthophora spicifera
Amansia glomerata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Amansia,Amansia glomerata
Chondria sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Chondria,Chondria sp. ARS-2011
Herposiphonia sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Herposiphonia,Herposiphonia sp. ARS-2011
Herposiphonia sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Herposiphonia sp.,Herposiphonia sp.
Laurencia majuscula,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia majuscula
Laurencia sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia sp. ARS-2011
Laurencia sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia sp.,Laurencia sp.
Palisada parvipapillata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Palisada,Palisada parvipapillata
Polysiphonia sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia sp. ARS-2011
Rhodolachne decussata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Rhodolachne,Rhodolachne decussata
Rhodomelaceae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Rhodomelaceae,Rhodomelaceae
Spirocladia barodensis,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Spirocladia,Spirocladia barodensis
Tolypiocladia glomerulata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Tolypiocladia,Tolypiocladia glomerulata
Anotrichium sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Anotrichium,Anotrichium sp. ARS-2011
Anotrichium tenue,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Anotrichium,Anotrichium tenue
Diplothamnion jolyi,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Diplothamnion,Diplothamnion jolyi
Griffithsia schousboei,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Griffithsia,Griffithsia schousboei
Griffithsia subcylindrica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Griffithsia,Griffithsia subcylindrica
Monosporus indicus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Monosporus,Monosporus indicus
Colaconema sp. ,Plantae,Rhodophyta,Florideophyceae,Colaconematales,Colaconemataceae,Colaconema,Colaconema sp. ARS-2011
Corallinaceae,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallinaceae,Corallinaceae
Haliptilon subulatum,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Haliptilon,Haliptilon subulatum
Corallinales,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinales,Corallinales,Corallinales
Hydrolithon sp. ,Plantae,Rhodophyta,Florideophyceae,Corallinales,Hydrolithaceae,Hydrolithon,Hydrolithon sp. ARS-2011
Amphiroa foliacea,Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,Amphiroa foliacea
Amphiroa sp. ,Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,Amphiroa sp. ARS-2011
Amphiroa valonioides,Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,Amphiroa valonioides
Corallinophycidae,Plantae,Rhodophyta,Florideophyceae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae
Florideophyceae,Plantae,Rhodophyta,Florideophyceae,Florideophyceae,Florideophyceae,Florideophyceae,Florideophyceae
Gelidium pusillum,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium pusillum
Gelidium sp.,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium sp.,Gelidium sp.
Gelidiella sp. ,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiellaceae,Gelidiella,Gelidiella sp. ARS-2011
Caulacanthus ustulatus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,Caulacanthus ustulatus
Hypnea nidifica,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea,Hypnea nidifica
Hypnea sp.,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea,Hypnea sp. ARS-2011
Gibsmithia hawaiiensis,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Gibsmithia,Gibsmithia hawaiiensis
Chondracanthus acicularis,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus acicularis
Gigartinaceae,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Gigartinaceae,Gigartinaceae
Gigartinales,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinales,Gigartinales,Gigartinales
Peyssonnelia inamoena,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Peyssonneliaceae,Peyssonnelia,Peyssonnelia inamoena
Peyssonnelia sp.,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Peyssonneliaceae,Peyssonnelia sp.,Peyssonnelia sp.
Peyssonneliaceae,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Peyssonneliaceae,Peyssonneliaceae,Peyssonneliaceae
Ahnfeltiopsis flabelliformis,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,Ahnfeltiopsis flabelliformis
Portieria hornemanii,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Rhizophyllidaceae,Portieria,Portieria hornemanii
Gracilaria sp.,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria sp.,Gracilaria sp.
Gracilariaceae,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilariaceae,Gracilariaceae
Cryptonemia yendoi,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Cryptonemia,Cryptonemia yendoi
Grateloupia filicina,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,Grateloupia filicina
Grateloupia sp.,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia sp.,Grateloupia sp.
Galaxaura rugosa,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Galaxauraceae,Galaxaura,Galaxaura rugosa
Ganonema farinosum,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Ganonema,Ganonema farinosum
Liagora sp.,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Liagora sp.,Liagora sp.
Liagoraceae,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Liagoraceae,Liagoraceae
Macrocarpus perennis,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Macrocarpus,Macrocarpus perennis
Stenopeltis gracilis,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Stenopeltis,Stenopeltis gracilis
Titanophycus validus,Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,Titanophycus,Titanophycus validus
Nemaliophycidae,Plantae,Rhodophyta,Florideophyceae,Nemaliophycidae,Nemaliophycidae,Nemaliophycidae,Nemaliophycidae
Platoma sp.,Plantae,Rhodophyta,Florideophyceae,Nemastomatales,Schizymeniaceae,Platoma sp.,Platoma sp.
Plocamium sandvicense,Plantae,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium sandvicense
Champia vieillardii,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Champia,Champia vieillardii
Champiaceae,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Champiaceae,Champiaceae
Coelothrix irregularis,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Coelothrix,Coelothrix irregularis
Ceratodictyon scoparium,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Ceratodictyon,Ceratodictyon scoparium
Botryocladia skottsbergii,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Botryocladia,Botryocladia skottsbergii
Chrysymenia okamurae,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Chrysymenia,Chrysymenia okamurae
Erythrocolon podagricum,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Erythrocolon,Erythrocolon podagricum
Rhodymeniales,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniales,Rhodymeniales,Rhodymeniales
Rhodymeniophycidae,Plantae,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae
Rhodophyta,Plantae,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta
Dictyotaceae,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyotaceae,Dictyotaceae
Lobophora variegata,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Lobophora,Lobophora variegata
Padina gymnospora,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Padina,Padina gymnospora
Colpomenia sinuosa,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,Colpomenia sinuosa
Scytosiphonaceae,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphonaceae,Scytosiphonaceae
Sargassum echinocarpum,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum echinocarpum
Sargassum sp.,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum sp.,Sargassum sp.
Turbinaria ornata,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Turbinaria,Turbinaria ornata
Phaeophyceae,Chromista,Ochrophyta,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae
Asteronema breviarticulatum,Chromista,Ochrophyta,Phaeophyceae,Scytothamnales,Asteronemataceae,Asteronema,Asteronema breviarticulatum
Sphacelaria tribuloides,Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,Sphacelaria,Sphacelaria tribuloides
Chlorodendraceae,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendraceae,Chlorodendraceae
Tetraselmis sp.,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis sp.,Tetraselmis sp.
Prasinococcus sp. ,Plantae,Chlorophyta,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinococcus,Prasinococcus sp. CCMP1194
Prasinoderma coloniale,Plantae,Chlorophyta,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinoderma,Prasinoderma coloniale
Bryopsidales,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidales,Bryopsidales,Bryopsidales
Ulva sp. ,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva sp. UNA00071828
Ulva sp.,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva sp.,Ulva sp.
Cyanobacteria,Eubacteria,Cyanobacteria,Cyanobacteria,Cyanobacteria,Cyanobacteria,Cyanobacteria,Cyanobacteria
Crocosphaera watsonii,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Nostocales,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocales,Nostocales,Nostocales
Cyanothece sp.,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Cyanothecaceae,Cyanothece sp.,Cyanothece sp.
Trichodesmium erythraeum,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum
Moorea producens,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens
Moorea sp.,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorea sp.,Moorea sp.
Oscillatoriales,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriales,Oscillatoriales,Oscillatoriales
Oscillatoriophycideae,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriophycideae,Oscillatoriophycideae,Oscillatoriophycideae,Oscillatoriophycideae
Xenococcus sp. ,Eubacteria,Cyanobacteria,Cyanophyceae,Pleurocapsales,Xenococcaceae,Xenococcus,Xenococcus sp. PCC 7305
Acaryochloris marina ,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina
Prochlorococcus sp.,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Prochloraceae,Prochlorococcus sp.,Prochlorococcus sp.
Synechococcus sp. ,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0205
Dinophyceae,Chromista,Miozoa,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae
Kryptoperidinium foliaceum,Chromista,Miozoa,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium,Kryptoperidinium foliaceum
Chromerida,Chromista,Chromerida,Chromerida,Chromerida,Chromerida,Chromerida,Chromerida
Bigelowiella natans,Chromista,Cercozoa,Chlorarachniophyceae,Chlorarachniales,Chlorarachniaceae,Bigelowiella,Bigelowiella natans
Gymnochlora stellata,Chromista,Cercozoa,Chlorarachniophyceae,Chlorarachniales,Chlorarachniaceae,Gymnochlora,Gymnochlora stellata
Lotharella oceanica,Chromista,Cercozoa,Chlorarachniophyceae,Chlorarachniales,Chlorarachniaceae,Lotharella,Lotharella oceanica
Chlorarachniophyceae,Chromista,Cercozoa,Chlorarachniophyceae,Chlorarachniales,Chlorarachniophyceae,Chlorarachniophyceae,Chlorarachniophyceae
Cylindrotheca closterium,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
Nitzschia sp. ,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia sp. 00196
